id,name,is_trans,num_parts,num_sets,y1,y2,lifetime_years,avg_parts_per_set
2,Green,False,90081,26681,1949.0,2026.0,77.0,3.3762227802556124
1,Blue,False,205371,49738,1949.0,2026.0,77.0,4.129056254775021
10,Bright Green,False,27550,8390,1949.0,2026.0,77.0,3.2836710369487485
15,White,False,514086,150469,1949.0,2026.0,77.0,3.41655756335192
14,Yellow,False,213892,71600,1949.0,2026.0,77.0,2.9873184357541898
4,Red,False,317761,95198,1949.0,2026.0,77.0,3.3378957541124814
47,Trans-Clear,True,47022,15266,1954.0,2026.0,72.0,3.0801781737193763
9999,[No Color/Any Color],False,10607,10361,1955.0,2026.0,71.0,1.0237428819612007
0,Black,False,823845,228939,1957.0,2026.0,69.0,3.5985349809337857
1135,Metal,False,56,31,1957.0,2021.0,64.0,1.8064516129032258
33,Trans-Dark Blue,True,10693,3305,1965.0,2026.0,61.0,3.2354009077155825
34,Trans-Green,True,5406,2272,1969.0,2026.0,57.0,2.379401408450704
46,Trans-Yellow,True,13278,4476,1969.0,2026.0,57.0,2.9664879356568363
36,Trans-Red,True,20492,7162,1969.0,2026.0,57.0,2.861211951968724
7,Light Gray,False,92813,25173,1954.0,2007.0,53.0,3.6870059190402413
383,Chrome Silver,False,1335,628,1977.0,2026.0,49.0,2.125796178343949
92,Nougat,False,3010,1209,1979.0,2026.0,47.0,2.489660876757651
79,Milky White,False,239,158,1963.0,2008.0,45.0,1.5126582278481013
19,Tan,False,191882,46392,1982.0,2026.0,44.0,4.136101051905501
41,Trans-Light Blue,True,32667,9394,1985.0,2026.0,41.0,3.4774324036619118
334,Chrome Gold,False,2196,853,1989.0,2026.0,37.0,2.574443141852286
42,Trans-Neon Green,True,6803,2339,1990.0,2024.0,34.0,2.9085079093629758
484,Dark Orange,False,27627,8159,1994.0,2026.0,32.0,3.386076725088859
313,Maersk Blue,False,469,101,1974.0,2006.0,32.0,4.643564356435643
6,Brown,False,9551,3786,1974.0,2006.0,32.0,2.522715266772319
57,Trans-Neon Orange,True,5613,1950,1993.0,2023.0,30.0,2.8784615384615386
82,Metallic Gold,False,3180,725,1997.0,2026.0,29.0,4.386206896551724
73,Medium Blue,False,13306,3510,1997.0,2026.0,29.0,3.790883190883191
25,Orange,False,54349,17861,1998.0,2026.0,28.0,3.0428867364649235
8,Dark Gray,False,22443,7798,1978.0,2006.0,28.0,2.8780456527314695
3,Dark Turquoise,False,23373,6269,1998.0,2026.0,28.0,3.72834582868081
80,Metallic Silver,False,4024,1310,1998.0,2026.0,28.0,3.07175572519084
45,Trans-Dark Pink,True,5741,1959,1998.0,2026.0,28.0,2.9305768249106685
72,Dark Bluish Gray,False,369450,103403,1999.0,2026.0,27.0,3.5729137452491706
288,Dark Green,False,25903,6128,1999.0,2026.0,27.0,4.226990861618799
272,Dark Blue,False,52666,15169,1999.0,2026.0,27.0,3.4719493704265276
378,Sand Green,False,25768,5306,2000.0,2026.0,26.0,4.85638899359216
52,Trans-Purple,True,3079,868,2000.0,2026.0,26.0,3.5472350230414746
26,Magenta,False,13571,4761,2000.0,2026.0,26.0,2.850451585801302
27,Lime,False,45401,14894,2000.0,2026.0,26.0,3.0482744729421243
28,Dark Tan,False,71465,17249,2000.0,2026.0,26.0,4.143138732680155
85,Dark Purple,False,16903,5945,2000.0,2026.0,26.0,2.84322960470984
40,Trans-Brown,True,8657,3009,1999.0,2025.0,26.0,2.8770355599867066
379,Sand Blue,False,10440,2839,2001.0,2026.0,25.0,3.6773511799929555
320,Dark Red,False,49960,12685,2001.0,2026.0,25.0,3.938510051241624
129,Glitter Trans-Purple,True,169,74,2000.0,2025.0,25.0,2.2837837837837838
114,Glitter Trans-Dark Pink,True,234,50,1999.0,2024.0,25.0,4.68
182,Trans-Orange,True,15822,5060,2002.0,2026.0,24.0,3.126877470355731
71,Light Bluish Gray,False,509672,133676,2002.0,2026.0,24.0,3.812741254974715
117,Glitter Trans-Clear,True,230,38,1999.0,2023.0,24.0,6.052631578947368
70,Reddish Brown,False,174440,49655,2003.0,2026.0,23.0,3.5130399758332493
191,Bright Light Orange,False,30254,10041,2003.0,2026.0,23.0,3.0130465093118217
5,Dark Pink,False,16181,4981,2003.0,2026.0,23.0,3.248544468982132
29,Bright Pink,False,18750,6002,2003.0,2026.0,23.0,3.1239586804398534
366,Earth Orange,False,170,132,1982.0,2005.0,23.0,1.2878787878787878
78,Light Nougat,False,11548,5994,2004.0,2026.0,22.0,1.9265932599265934
226,Bright Light Yellow,False,12190,3864,2004.0,2026.0,22.0,3.1547619047619047
297,Pearl Gold,False,53709,15592,2004.0,2026.0,22.0,3.4446511031298104
212,Bright Light Blue,False,9641,2855,2004.0,2026.0,22.0,3.3768826619964973
232,Sky Blue,False,132,63,2003.0,2023.0,20.0,2.0952380952380953
308,Dark Brown,False,24608,6893,2008.0,2026.0,18.0,3.5699985492528654
183,Pearl White,False,46,19,2003.0,2021.0,18.0,2.4210526315789473
179,Flat Silver,False,22815,8618,2009.0,2026.0,17.0,2.647365978185194
63,Chrome Pink,False,19,12,2001.0,2018.0,17.0,1.5833333333333333
143,Trans-Medium Blue,True,704,250,2001.0,2018.0,17.0,2.816
84,Medium Nougat,False,42453,12024,2010.0,2026.0,16.0,3.530688622754491
1103,Pearl Titanium,False,7667,3343,2010.0,2026.0,16.0,2.2934489979060726
35,Trans-Bright Green,True,3657,1301,2010.0,2026.0,16.0,2.810914681014604
21,Glow In Dark Opaque,False,209,151,1990.0,2006.0,16.0,1.3841059602649006
110,Violet,False,191,119,1992.0,2008.0,16.0,1.6050420168067228
326,Olive Green,False,11933,2577,2010.0,2026.0,16.0,4.63057819169577
1000,Glow in Dark White,False,656,185,2011.0,2026.0,15.0,3.545945945945946
31,Lavender,False,8640,2343,2011.0,2026.0,15.0,3.6875800256081948
30,Medium Lavender,False,9802,3292,2011.0,2026.0,15.0,2.9775212636695016
323,Light Aqua,False,10789,3111,2011.0,2026.0,15.0,3.4680167148826744
1064,Fabuland Red,False,22,15,1979.0,1994.0,15.0,1.4666666666666666
321,Dark Azure,False,16519,5656,2011.0,2026.0,15.0,2.9206152758132955
322,Medium Azure,False,29944,10405,2012.0,2026.0,14.0,2.8778471888515136
158,Yellowish Green,False,3830,1111,2012.0,2026.0,14.0,3.447344734473447
17,Light Green,False,165,124,1992.0,2005.0,13.0,1.3306451612903225
9,Light Blue,False,42,33,1995.0,2007.0,12.0,1.2727272727272727
1106,HO Blue-gray,False,3,3,1958.0,1970.0,12.0,1.0
64,Chrome Black,False,10,10,2008.0,2020.0,12.0,1.0
450,Fabuland Brown,False,56,44,1979.0,1991.0,12.0,1.2727272727272727
216,Rust,False,31,17,1989.0,2001.0,12.0,1.8235294117647058
18,Light Yellow,False,340,187,1994.0,2005.0,11.0,1.8181818181818181
351,Medium Dark Pink,False,1092,574,1994.0,2005.0,11.0,1.9024390243902438
74,Medium Green,False,571,308,1994.0,2005.0,11.0,1.853896103896104
13,Pink,False,477,246,1994.0,2005.0,11.0,1.9390243902439024
