year,color_name,rgb,total_quantity,year_total,share
1949.0,Blue,0055BF,72,790,0.09113924050632911
1949.0,Bright Green,4B9F4A,6,790,0.007594936708860759
1949.0,Green,237841,140,790,0.17721518987341772
1949.0,Red,C91A09,151,790,0.1911392405063291
1949.0,Vintage Blue,039CBD,24,790,0.030379746835443037
1949.0,Vintage Green,1E601E,32,790,0.04050632911392405
1949.0,Vintage Red,CA1F08,31,790,0.039240506329113925
1949.0,Vintage Yellow,F3C305,24,790,0.030379746835443037
1949.0,White,FFFFFF,199,790,0.2518987341772152
1949.0,Yellow,F2CD37,111,790,0.14050632911392405
1950.0,Blue,0055BF,10,22,0.45454545454545453
1950.0,Green,237841,9,22,0.4090909090909091
1950.0,Red,C91A09,3,22,0.13636363636363635
1953.0,Blue,0055BF,2,106,0.018867924528301886
1953.0,Green,237841,26,106,0.24528301886792453
1953.0,Red,C91A09,26,106,0.24528301886792453
1953.0,White,FFFFFF,26,106,0.24528301886792453
1953.0,Yellow,F2CD37,26,106,0.24528301886792453
1954.0,Blue,0055BF,18,178,0.10112359550561797
1954.0,Green,237841,6,178,0.033707865168539325
1954.0,Light Gray,9BA19D,1,178,0.0056179775280898875
1954.0,Red,C91A09,70,178,0.39325842696629215
1954.0,Trans-Clear,FCFCFC,2,178,0.011235955056179775
1954.0,White,FFFFFF,63,178,0.3539325842696629
1954.0,Yellow,F2CD37,18,178,0.10112359550561797
1955.0,Blue,0055BF,189,1253,0.15083798882681565
1955.0,Green,237841,12,1253,0.009577015163607342
1955.0,Red,C91A09,332,1253,0.2649640861931365
1955.0,Trans-Clear,FCFCFC,43,1253,0.034317637669592976
1955.0,White,FFFFFF,488,1253,0.38946528332003194
1955.0,Yellow,F2CD37,188,1253,0.15003990422984836
1955.0,[No Color/Any Color],05131D,1,1253,0.0007980845969672786
1956.0,Blue,0055BF,6,501,0.011976047904191617
1956.0,Red,C91A09,166,501,0.3313373253493014
1956.0,Trans-Clear,FCFCFC,19,501,0.03792415169660679
1956.0,White,FFFFFF,297,501,0.592814371257485
1956.0,Yellow,F2CD37,6,501,0.011976047904191617
1956.0,[No Color/Any Color],05131D,7,501,0.013972055888223553
1957.0,Black,05131D,1,1488,0.0006720430107526882
1957.0,Blue,0055BF,88,1488,0.05913978494623656
1957.0,Green,237841,15,1488,0.010080645161290322
1957.0,HO Earth Orange,bb771b,1,1488,0.0006720430107526882
1957.0,HO Light Brown,965336,1,1488,0.0006720430107526882
1957.0,HO Light Gold,cdc298,1,1488,0.0006720430107526882
1957.0,HO Medium Red,c01111,1,1488,0.0006720430107526882
1957.0,HO Olive Green,9B9A5A,1,1488,0.0006720430107526882
1957.0,HO Sand Blue,6e8aa6,1,1488,0.0006720430107526882
1957.0,HO Tan,E4CD9E,1,1488,0.0006720430107526882
1957.0,Light Gray,9BA19D,3,1488,0.0020161290322580645
1957.0,Metal,A5ADB4,2,1488,0.0013440860215053765
1957.0,Red,C91A09,300,1488,0.20161290322580644
1957.0,Trans-Clear,FCFCFC,61,1488,0.04099462365591398
1957.0,White,FFFFFF,987,1488,0.6633064516129032
1957.0,Yellow,F2CD37,20,1488,0.013440860215053764
1957.0,[No Color/Any Color],05131D,4,1488,0.002688172043010753
1958.0,Black,05131D,198,2918,0.067854694996573
1958.0,Blue,0055BF,336,2918,0.11514736120630568
1958.0,Green,237841,28,2918,0.009595613433858808
