year,color,total_quantity
1949.0,Blue,72
1949.0,Bright Green,6
1949.0,Green,140
1949.0,Red,151
1949.0,Vintage Blue,24
1949.0,Vintage Green,32
1949.0,Vintage Red,31
1949.0,Vintage Yellow,24
1949.0,White,199
1949.0,Yellow,111
1950.0,Blue,10
1950.0,Green,9
1950.0,Red,3
1953.0,Blue,2
1953.0,Green,26
1953.0,Red,26
1953.0,White,26
1953.0,Yellow,26
1954.0,Blue,18
1954.0,Green,6
1954.0,Light Gray,1
1954.0,Red,70
1954.0,Trans-Clear,2
1954.0,White,63
1954.0,Yellow,18
1955.0,Blue,189
1955.0,Green,12
1955.0,Red,332
1955.0,Trans-Clear,43
1955.0,White,488
1955.0,Yellow,188
1955.0,[No Color/Any Color],1
1956.0,Blue,6
1956.0,Red,166
1956.0,Trans-Clear,19
1956.0,White,297
1956.0,Yellow,6
1956.0,[No Color/Any Color],7
1957.0,Black,1
1957.0,Blue,88
1957.0,Green,15
1957.0,HO Earth Orange,1
1957.0,HO Light Brown,1
1957.0,HO Light Gold,1
1957.0,HO Medium Red,1
1957.0,HO Olive Green,1
1957.0,HO Sand Blue,1
1957.0,HO Tan,1
1957.0,Light Gray,3
1957.0,Metal,2
1957.0,Red,300
1957.0,Trans-Clear,61
1957.0,White,987
1957.0,Yellow,20
1957.0,[No Color/Any Color],4
1958.0,Black,198
1958.0,Blue,336
1958.0,Green,28
1958.0,HO Aqua,1
1958.0,HO Blue-gray,2
1958.0,HO Cyan,1
1958.0,HO Dark Aqua,1
1958.0,HO Dark Blue,1
1958.0,HO Dark Green,1
1958.0,HO Dark Lime,1
1958.0,HO Dark Red,1
1958.0,HO Dark Sand Green,1
1958.0,HO Earth Orange,1
1958.0,HO Gold,1
1958.0,HO Light Aqua,1
1958.0,HO Light Gold,1
1958.0,HO Light Tan,1
1958.0,HO Light Yellow,1
1958.0,HO Medium Blue,2
1958.0,HO Medium Red,3
1958.0,HO Metallic Blue,2
1958.0,HO Metallic Dark Gray,1
1958.0,HO Metallic Green,1
1958.0,HO Metallic Sand Blue,1
1958.0,HO Olive Green,1
1958.0,HO Rose,1
1958.0,HO Sand Blue,1
1958.0,HO Sand Green,2
1958.0,HO Tan,1
1958.0,HO Titanium,1
1958.0,Light Gray,2
1958.0,Metal,10
1958.0,Red,401
1958.0,Trans-Clear,218
1958.0,White,1461
1958.0,Yellow,225
1958.0,[No Color/Any Color],6
1959.0,Black,1
1959.0,Blue,21
1959.0,HO Dark Blue,1
1959.0,HO Light Tan,1
1959.0,HO Metallic Dark Gray,1
1959.0,Light Gray,1
1959.0,Red,22
1959.0,White,8
1959.0,[No Color/Any Color],1
1960.0,Black,20
1960.0,Blue,50
1960.0,Green,2
1960.0,Red,160
1960.0,Trans-Clear,26
1960.0,White,287
1960.0,Yellow,30
1960.0,[No Color/Any Color],1
1961.0,Black,15
1961.0,Blue,167
1961.0,Green,15
1961.0,HO Dark Blue,4
1961.0,HO Dark Gray,3
1961.0,HO Dark Green,2
1961.0,HO Dark Red,3
1961.0,HO Light Tan,1
1961.0,HO Metallic Blue,1
1961.0,HO Olive Green,1
1961.0,Light Gray,82
1961.0,Metal,2
1961.0,Red,665
1961.0,Trans-Clear,315
1961.0,White,1150
1961.0,Yellow,199
1961.0,[No Color/Any Color],4
1962.0,Black,349
1962.0,Blue,376
1962.0,Green,184
1962.0,Light Gray,377
1962.0,Metal,1
1962.0,Red,488
1962.0,Trans-Clear,503
1962.0,White,797
1962.0,Yellow,349
1962.0,[No Color/Any Color],2
1963.0,Black,236
1963.0,Blue,226
1963.0,Green,3
1963.0,HO Azure,1
1963.0,HO Dark Gray,4
1963.0,HO Dark Red,2
1963.0,Light Gray,97
1963.0,Milky White,10
1963.0,Modulex Aqua Green,16
1963.0,Modulex Black,2503
1963.0,Modulex Brown,2223
1963.0,Modulex Buff,1626
