theme_id,id_theme,color_id,rgb,total_quantity
1.0,1.0,0,05131D,138416
1.0,1.0,1,0055BF,41657
1.0,1.0,2,237841,1105
1.0,1.0,3,008F9B,319
1.0,1.0,4,C91A09,30486
1.0,1.0,5,C870A0,1
1.0,1.0,7,9BA19D,16283
1.0,1.0,8,6D6E5C,1168
1.0,1.0,10,4B9F4A,513
1.0,1.0,14,F2CD37,20573
1.0,1.0,15,FFFFFF,10981
1.0,1.0,19,E4CD9E,5770
1.0,1.0,22,81007B,1
1.0,1.0,25,FE8A18,3553
1.0,1.0,26,923978,30
1.0,1.0,27,BBE90B,2013
1.0,1.0,28,958A73,993
1.0,1.0,29,E4ADC8,17
1.0,1.0,33,0020A0,93
1.0,1.0,34,84B68D,74
1.0,1.0,35,D9E4A7,2
1.0,1.0,36,C91A09,880
1.0,1.0,40,635F52,51
1.0,1.0,41,AEEFEC,113
1.0,1.0,42,F8F184,12
1.0,1.0,46,F5CD2F,201
1.0,1.0,47,FCFCFC,1783
1.0,1.0,57,FF800D,40
1.0,1.0,70,582A12,2091
1.0,1.0,71,A0A5A9,55653
1.0,1.0,72,6C6E68,24921
1.0,1.0,73,5A93DB,170
1.0,1.0,79,FFFFFF,4
1.0,1.0,80,A5A9B4,331
1.0,1.0,81,899B5F,23
1.0,1.0,82,DBAC34,66
1.0,1.0,84,AA7D55,12
1.0,1.0,85,3F3691,53
1.0,1.0,135,9CA3A8,180
1.0,1.0,143,CFE2F7,6
1.0,1.0,148,575857,34
1.0,1.0,158,DFEEA5,10
1.0,1.0,179,898788,424
1.0,1.0,182,F08F1C,792
1.0,1.0,191,F8BB3D,403
1.0,1.0,216,B31004,6
1.0,1.0,272,0A3463,1235
1.0,1.0,288,184632,38
1.0,1.0,297,AA7F2E,200
1.0,1.0,308,352100,12
1.0,1.0,320,720E0F,4
1.0,1.0,321,078BC9,902
1.0,1.0,322,36AEBF,98
1.0,1.0,326,9B9A5A,412
1.0,1.0,378,A0BCAC,13
1.0,1.0,379,6074A1,15
1.0,1.0,484,A95500,32
1.0,1.0,1000,D9D9D9,13
1.0,1.0,1050,FF698F,14
1.0,1.0,1059,8320B7,5
1.0,1.0,1062,EBD800,50
1.0,1.0,1095,635F52,3
1.0,1.0,1103,3E3C39,97
1.0,1.0,1136,CA4C0B,545
1.0,1.0,9999,05131D,423
3.0,3.0,0,05131D,3202
3.0,3.0,1,0055BF,11
3.0,3.0,2,237841,10
3.0,3.0,3,008F9B,424
3.0,3.0,4,C91A09,12
3.0,3.0,7,9BA19D,959
3.0,3.0,8,6D6E5C,231
3.0,3.0,14,F2CD37,196
3.0,3.0,15,FFFFFF,27
3.0,3.0,22,81007B,107
3.0,3.0,25,FE8A18,39
3.0,3.0,27,BBE90B,36
3.0,3.0,34,84B68D,2
3.0,3.0,36,C91A09,2
3.0,3.0,41,AEEFEC,6
3.0,3.0,42,F8F184,6
3.0,3.0,47,FCFCFC,1
3.0,3.0,135,9CA3A8,6
3.0,3.0,9999,05131D,27
4.0,4.0,0,05131D,3575
4.0,4.0,1,0055BF,1327
4.0,4.0,4,C91A09,2078
4.0,4.0,7,9BA19D,4492
4.0,4.0,14,F2CD37,2169
4.0,4.0,15,FFFFFF,92
