fig_num,num_distinct_colors,fig_name,num_parts
fig-000001,24,Toy Store Employee,4
fig-000002,24,Customer Kid,4
fig-000003,23,"Assassin Droid, White",8
fig-000004,13,"Man, White Torso, Black Legs, Brown Hair",4
fig-000005,17,Captain America with Short Legs,3
fig-000006,9,Lloyd Avatar,5
fig-000007,28,Lloyd / Digi Lloyd - Katana Holders,5
fig-000008,18,Wonder Woman,4
fig-000009,22,The Flash,4
fig-000010,29,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5
fig-000011,18,Captain Cold,4
fig-000012,18,Truck Driver,4
fig-000013,18,Gorilla Grodd,7
fig-000014,21,"Batgirl, Dark Purple Suit, Wings",5
fig-000015,36,Sir Fangar,7
fig-000016,36,Stealthor,6
fig-000017,36,Gorzan,6
fig-000018,23,Alien,3
fig-000019,8,"UFO Alien, Blue",5
fig-000020,13,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5
fig-000021,11,Krusty the Clown (CMF),3
fig-000022,1,Chicken Suit Guy,4
fig-000023,2,Warrior Woman,4
fig-000024,3,Race Car Driver (CMF),4
fig-000025,2,Conquistador,6
fig-000026,0,Firox,10
fig-000027,11,"UFO Alien, Red",5
fig-000028,0,"Hulk, Dark Purple Pants, Printed",4
fig-000029,19,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",4
fig-000030,5,Space Police II,6
fig-000031,2,Street Skater,4
fig-000032,27,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",5
fig-000033,26,"Red Torso, Dark Blue Legs, Light Bluish Gray Helmet",4
fig-000034,10,Aquanaut 2,5
fig-000035,2,Milhouse Van Houten (CMF),3
fig-000036,2,Crazy Scientist,4
fig-000037,6,Pop Star (CMF),4
fig-000038,21,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair",4
fig-000039,13,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",4
fig-000040,7,"Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat",4
fig-000041,2,Ralph Wiggum,3
fig-000043,11,Dr. Kilroy in Dark Gray Suit,4
fig-000044,13,"Basketball Player, Violet Torso, Violet Legs 3",3
fig-000045,18,"Policeman, Black Jacket with Pocket and Badge, White Hat, Glasses",4
fig-000046,13,Surfer (CMF),4
fig-000047,2,Tomahawk Warrior,4
fig-000048,23,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",4
fig-000049,1,LEGO Store Employee,4
fig-000050,2,Apu Nahasapeemapetilon (CMF),3
fig-000051,21,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",4
fig-000052,21,"Policeman, Black Suit with Badge, White Hat, Scowl",4
fig-000053,11,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",4
fig-000054,22,"Clone Pilot, Phase I Armor, Plain Black Head",4
fig-000055,2,Itchy,3
fig-000056,1,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",4
fig-000057,16,Archer (Fright Knights),5
fig-000058,26,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4
fig-000059,18,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Green Legs, Black Cap, Beard and Glasses",4
fig-000060,3,Edna Krabappel (CMF),4
fig-000061,8,Blacktron II - 3626a Head,6
fig-000062,8,Blacktron II - 3626b Head,6
fig-000063,2,Scratchy (CMF),4
fig-000064,7,"Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings",4
fig-000065,6,M:Tron,6
fig-000066,3,Waiter,4
fig-000067,21,"Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard",4
fig-000068,3,Chief Wiggum (CMF),3
fig-000069,12,"Ninja, White",4
fig-000070,6,Space Police I,6
fig-000071,4,Exploriens Droid with Helmet,5
fig-000072,5,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",9
fig-000073,1,"Chef, Red Neckerchief, Light Bluish Gray Legs, Goatee Beard",4
fig-000074,9,"Man, Green Jacket, Green Legs, Green Cap, Sunglasses",4
fig-000075,11,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11
fig-000076,6,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6
fig-000077,6,"Doctor, White Shirt with Star of Life Logo, Blue Cap, Glasses",4
fig-000078,24,"Nute Gunray, Dark Red Robe",4
fig-000079,7,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5
fig-000080,2,Pretzel Girl (CMF),5
fig-000081,2,Waylon Smithers (CMF),3
fig-000082,2,Yeti (CMF),3
fig-000083,22,Fangdam,3
fig-000084,6,"Blue Torso, Light Grey Legs, Black Hair",4
fig-000085,8,"Race Driver, Red Torso, Red Legs, Black Helmet, Zonic",5
fig-000086,8,"UFO Droid, Blue",3
fig-000087,16,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet with Visor, Cheek Lines",5
fig-000088,6,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6
fig-000089,2,Video Game Guy (CMF),4
fig-000090,5,"Coast Guard, Yellow Jacket with Zipper, Radio and Badge, Light Bluish Gray Helmet, Yellow Life Vest, Sunglasses",5
fig-000091,20,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, White Hands",4
fig-000092,3,Marsha Queen of the Mermaids (CMF),4
fig-000093,14,Ogel with Trans-red Hook,6
fig-000094,2,Dr. Hibbert (CMF),3
fig-000095,18,"Pilot, Blue Jacket with Plane Logo and Blue Tie, Blue Hat, Goatee Beard",4
fig-000096,14,Dash,6
fig-000097,5,"Knight (Knights Kingdom I) - Cedric the Bull, Chrome Helmet, Horn",5
fig-000098,14,"Snowboarder, Bright Light Orange Jacket, Dark Red Legs",4
fig-000099,10,"Astronaut, White, Light Gray Hips, Helmet with Breastplate and Large Chrome Gold Visor, Headset",5
fig-000100,6,"Man, Blue Torso, Black Legs, Red Hard Hat",4
fig-000101,20,"Man, Blue Overalls over Shirt, Red Hard Hat, Orange Vest, Orange Sunglasses",5
fig-000102,16,"Space Port Ground Grew, White Jacket, Black Legs, White Hard Hat, Beard and Glasses",4
fig-000103,18,"Astronaut, White, Light Gray Hips, Helmet with Large Chrome Gold Visor, Headset",5
fig-000104,3,"Racer, Plain Black, White Helmet (3842b Helmet)",4
fig-000105,17,"Spaceman, Doc",5
fig-000106,4,"Blacktron II - Jetpack, 3626a Head",8
fig-000107,4,"Blacktron II - Jetpack, 3626b Head",8
fig-000108,7,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Hat, Sunglasses",4
fig-000109,17,Cole (The Golden Weapons),4
fig-000110,2,Mermaid,4
fig-000111,10,Zane DX,4
fig-000112,7,LEGOLAND Red with Black hat,4
fig-000113,5,Ice Planet - White Hair,6
fig-000114,9,Spyrius,6
fig-000115,0,TC-4,3
fig-000116,16,"Arctic Crew, Black, White Cap",4
fig-000117,2,Sumo Wrestler (CMF),4
fig-000118,14,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair",4
fig-000119,7,"Spaceman, Assistant (23318 Visor)",5
fig-000120,21,"Santa, Plain Yellow, Black Hips",5
fig-000121,15,"White Torso, Red Legs, Black Hair",4
fig-000122,21,Legolas Greenleaf,4
fig-000123,18,Snap Lockitt,4
fig-000124,42,"Chewbacca, Reddish Brown",3
fig-000125,11,Worriz in Fire Chi Outfit,4
fig-000126,13,"Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor",5
fig-000127,12,"Construction Worker, Blue Overalls, Red Hard Hat",4
fig-000128,9,"Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)",4
fig-000129,27,Director,4
fig-000130,11,"White Torso, Black Legs, Dark Brown Hair, Glasses",4
fig-000131,3,Marge Simpson (CMF),4
fig-000132,2,Monster with Black Helmet,4
fig-000133,4,"Man, Plain Blue, White Helmet with Visor",5
fig-000134,9,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5
fig-000135,6,"Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest",6
fig-000136,17,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair, Safety Glasses",5
fig-000137,7,Soldier (Imperial Soldier) - Bicorne Hat,5
fig-000138,11,"Axel, Trans-Neon Green Visor",5
fig-000139,13,"Worker - Blue Torso, Orange Overall, Black Cap",4
fig-000140,20,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",4
fig-000141,22,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",7
fig-000142,12,"AT-AT Driver, Sand Blue Uniform",4
fig-000143,21,Gorzan with Flat Silver Shoulder Armor,6
fig-000144,31,"Luke Skywalker, White Robe, White Legs, Cheek Lines",4
fig-000145,17,Bard the Bowman,4
fig-000146,8,"Racer, White Shirt with Two Stripes and 'S', White Legs, Blue Helmet with Visor",5
fig-000147,0,Jor-El,5
fig-000148,7,"Race Driver, Orange Torso, Orange Legs, Red  Helmet",5
fig-000149,33,Jay ZX with Shoulder Armour,5
fig-000150,6,"Basketball Player, Light Gray torso, Black Legs",3
