fig_num,name,num_parts,img_url,cluster
fig-000001,Toy Store Employee,4,https://cdn.rebrickable.com/media/sets/fig-000001.jpg,4
fig-000002,Customer Kid,4,https://cdn.rebrickable.com/media/sets/fig-000002.jpg,4
fig-000003,"Assassin Droid, White",8,https://cdn.rebrickable.com/media/sets/fig-000003.jpg,4
fig-000004,"Man, White Torso, Black Legs, Brown Hair",4,https://cdn.rebrickable.com/media/sets/fig-000004.jpg,8
fig-000005,Captain America with Short Legs,3,https://cdn.rebrickable.com/media/sets/fig-000005.jpg,9
fig-000006,Lloyd Avatar,5,https://cdn.rebrickable.com/media/sets/fig-000006.jpg,4
fig-000007,Lloyd / Digi Lloyd - Katana Holders,5,https://cdn.rebrickable.com/media/sets/fig-000007.jpg,4
fig-000008,Wonder Woman,4,https://cdn.rebrickable.com/media/sets/fig-000008.jpg,4
fig-000009,The Flash,4,https://cdn.rebrickable.com/media/sets/fig-000009.jpg,4
fig-000010,"Batman, Dark Bluish Gray Suit, Black Cape and Cowl, Black Head, Dark Bluish Gray Legs, Small Batman Logo",5,https://cdn.rebrickable.com/media/sets/fig-000010.jpg,3
fig-000011,Captain Cold,4,https://cdn.rebrickable.com/media/sets/fig-000011.jpg,9
fig-000012,Truck Driver,4,https://cdn.rebrickable.com/media/sets/fig-000012.jpg,4
fig-000013,Gorilla Grodd,7,https://cdn.rebrickable.com/media/sets/fig-000013.jpg,4
fig-000014,"Batgirl, Dark Purple Suit, Wings",5,https://cdn.rebrickable.com/media/sets/fig-000014.jpg,4
fig-000015,Sir Fangar,7,https://cdn.rebrickable.com/media/sets/fig-000015.jpg,4
fig-000016,Stealthor,6,https://cdn.rebrickable.com/media/sets/fig-000016.jpg,4
fig-000017,Gorzan,6,https://cdn.rebrickable.com/media/sets/fig-000017.jpg,4
fig-000018,Alien,3,https://cdn.rebrickable.com/media/sets/fig-000018.jpg,4
fig-000019,"UFO Alien, Blue",5,https://cdn.rebrickable.com/media/sets/fig-000019.jpg,4
fig-000020,"Classic Spaceman, Red with Airtanks (3842a Helmet)",5,https://cdn.rebrickable.com/media/sets/fig-000020.jpg,4
fig-000021,Krusty the Clown (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000021.jpg,4
fig-000022,Chicken Suit Guy,4,https://cdn.rebrickable.com/media/sets/fig-000022.jpg,4
fig-000023,Warrior Woman,4,https://cdn.rebrickable.com/media/sets/fig-000023.jpg,4
fig-000024,Race Car Driver (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000024.jpg,4
fig-000025,Conquistador,6,https://cdn.rebrickable.com/media/sets/fig-000025.jpg,4
fig-000026,Firox,10,https://cdn.rebrickable.com/media/sets/fig-000026.jpg,4
fig-000027,"UFO Alien, Red",5,https://cdn.rebrickable.com/media/sets/fig-000027.jpg,4
fig-000028,"Hulk, Dark Purple Pants, Printed",4,https://cdn.rebrickable.com/media/sets/fig-000028.jpg,1
fig-000029,"Harry Potter, Open Dark Blue Jacket over White Shirt, Dark Bluish Gray Legs",4,https://cdn.rebrickable.com/media/sets/fig-000029.jpg,6
fig-000030,Space Police II,6,https://cdn.rebrickable.com/media/sets/fig-000030.jpg,4
fig-000031,Street Skater,4,https://cdn.rebrickable.com/media/sets/fig-000031.jpg,4
fig-000032,"Batman, Black Suit, Black Cape and Cowl, Yellow Batman Logo (56630 Cape) (3626b Head)",5,https://cdn.rebrickable.com/media/sets/fig-000032.jpg,3
fig-000033,"Red Torso, Dark Blue Legs, Light Bluish Gray Helmet",4,https://cdn.rebrickable.com/media/sets/fig-000033.jpg,6
fig-000034,Aquanaut 2,5,https://cdn.rebrickable.com/media/sets/fig-000034.jpg,4
fig-000035,Milhouse Van Houten (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000035.jpg,4
fig-000036,Crazy Scientist,4,https://cdn.rebrickable.com/media/sets/fig-000036.jpg,4
fig-000037,Pop Star (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000037.jpg,4
fig-000038,"Woman, Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-000038.jpg,3
fig-000039,"Policeman, Black Jacket with Zipper, White Helmet (3842a Helmet)",4,https://cdn.rebrickable.com/media/sets/fig-000039.jpg,3
fig-000040,"Man, Plain White Torso, Blue Legs, Light Gray Cowboy Hat",4,https://cdn.rebrickable.com/media/sets/fig-000040.jpg,6
fig-000041,Ralph Wiggum,3,https://cdn.rebrickable.com/media/sets/fig-000041.jpg,4
fig-000043,Dr. Kilroy in Dark Gray Suit,4,https://cdn.rebrickable.com/media/sets/fig-000043.jpg,4
fig-000044,"Basketball Player, Violet Torso, Violet Legs 3",3,https://cdn.rebrickable.com/media/sets/fig-000044.jpg,4
fig-000045,"Policeman, Black Jacket with Pocket and Badge, White Hat, Glasses",4,https://cdn.rebrickable.com/media/sets/fig-000045.jpg,3
fig-000046,Surfer (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000046.jpg,4
fig-000047,Tomahawk Warrior,4,https://cdn.rebrickable.com/media/sets/fig-000047.jpg,4
fig-000048,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Orange Legs, Red Hard Hat, Brown Eyebrows",4,https://cdn.rebrickable.com/media/sets/fig-000048.jpg,6
fig-000049,LEGO Store Employee,4,https://cdn.rebrickable.com/media/sets/fig-000049.jpg,4
fig-000050,Apu Nahasapeemapetilon (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000050.jpg,4
fig-000051,"Worker, Orange Overalls over Blue Sweater, Red Hard Hat (3626b Head)",4,https://cdn.rebrickable.com/media/sets/fig-000051.jpg,6
fig-000052,"Policeman, Black Suit with Badge, White Hat, Scowl",4,https://cdn.rebrickable.com/media/sets/fig-000052.jpg,3
fig-000053,"Pirate - Blue Jacket, Black Legs, Brown Tricorne",4,https://cdn.rebrickable.com/media/sets/fig-000053.jpg,3
fig-000054,"Clone Pilot, Phase I Armor, Plain Black Head",4,https://cdn.rebrickable.com/media/sets/fig-000054.jpg,3
fig-000055,Itchy,3,https://cdn.rebrickable.com/media/sets/fig-000055.jpg,4
fig-000056,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000056.jpg,4
fig-000057,Archer (Fright Knights),5,https://cdn.rebrickable.com/media/sets/fig-000057.jpg,4
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,https://cdn.rebrickable.com/media/sets/fig-000058.jpg,4
fig-000059,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Green Legs, Black Cap, Beard and Glasses",4,https://cdn.rebrickable.com/media/sets/fig-000059.jpg,6
fig-000060,Edna Krabappel (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000060.jpg,4
fig-000061,Blacktron II - 3626a Head,6,https://cdn.rebrickable.com/media/sets/fig-000061.jpg,4
fig-000062,Blacktron II - 3626b Head,6,https://cdn.rebrickable.com/media/sets/fig-000062.jpg,4
fig-000063,Scratchy (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000063.jpg,4
fig-000064,"Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings",4,https://cdn.rebrickable.com/media/sets/fig-000064.jpg,4
fig-000065,M:Tron,6,https://cdn.rebrickable.com/media/sets/fig-000065.jpg,4
fig-000066,Waiter,4,https://cdn.rebrickable.com/media/sets/fig-000066.jpg,4
fig-000067,"Man, Green V-Neck Sweater, Light Bluish Gray Legs, Beard",4,https://cdn.rebrickable.com/media/sets/fig-000067.jpg,4
fig-000068,Chief Wiggum (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000068.jpg,4
fig-000069,"Ninja, White",4,https://cdn.rebrickable.com/media/sets/fig-000069.jpg,4
fig-000070,Space Police I,6,https://cdn.rebrickable.com/media/sets/fig-000070.jpg,4
fig-000071,Exploriens Droid with Helmet,5,https://cdn.rebrickable.com/media/sets/fig-000071.jpg,4
fig-000072,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",9,https://cdn.rebrickable.com/media/sets/fig-000072.jpg,3
fig-000073,"Chef, Red Neckerchief, Light Bluish Gray Legs, Goatee Beard",4,https://cdn.rebrickable.com/media/sets/fig-000073.jpg,0
fig-000074,"Man, Green Jacket, Green Legs, Green Cap, Sunglasses",4,https://cdn.rebrickable.com/media/sets/fig-000074.jpg,6
fig-000075,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11,https://cdn.rebrickable.com/media/sets/fig-000075.jpg,3
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6,https://cdn.rebrickable.com/media/sets/fig-000076.jpg,3
fig-000077,"Doctor, White Shirt with Star of Life Logo, Blue Cap, Glasses",4,https://cdn.rebrickable.com/media/sets/fig-000077.jpg,6
fig-000078,"Nute Gunray, Dark Red Robe",4,https://cdn.rebrickable.com/media/sets/fig-000078.jpg,0
fig-000079,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5,https://cdn.rebrickable.com/media/sets/fig-000079.jpg,4
fig-000080,Pretzel Girl (CMF),5,https://cdn.rebrickable.com/media/sets/fig-000080.jpg,4
fig-000081,Waylon Smithers (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000081.jpg,4
fig-000082,Yeti (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000082.jpg,4
fig-000083,Fangdam,3,https://cdn.rebrickable.com/media/sets/fig-000083.jpg,4
fig-000084,"Blue Torso, Light Grey Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-000084.jpg,8
fig-000085,"Race Driver, Red Torso, Red Legs, Black Helmet, Zonic",5,https://cdn.rebrickable.com/media/sets/fig-000085.jpg,0
fig-000086,"UFO Droid, Blue",3,https://cdn.rebrickable.com/media/sets/fig-000086.jpg,4
fig-000087,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet with Visor, Cheek Lines",5,https://cdn.rebrickable.com/media/sets/fig-000087.jpg,3
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,https://cdn.rebrickable.com/media/sets/fig-000088.jpg,6
fig-000089,Video Game Guy (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000089.jpg,4
fig-000090,"Coast Guard, Yellow Jacket with Zipper, Radio and Badge, Light Bluish Gray Helmet, Yellow Life Vest, Sunglasses",5,https://cdn.rebrickable.com/media/sets/fig-000090.jpg,6
fig-000091,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, White Hands",4,https://cdn.rebrickable.com/media/sets/fig-000091.jpg,3
fig-000092,Marsha Queen of the Mermaids (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000092.jpg,4
fig-000093,Ogel with Trans-red Hook,6,https://cdn.rebrickable.com/media/sets/fig-000093.jpg,4
fig-000094,Dr. Hibbert (CMF),3,https://cdn.rebrickable.com/media/sets/fig-000094.jpg,4
fig-000095,"Pilot, Blue Jacket with Plane Logo and Blue Tie, Blue Hat, Goatee Beard",4,https://cdn.rebrickable.com/media/sets/fig-000095.jpg,6
fig-000096,Dash,6,https://cdn.rebrickable.com/media/sets/fig-000096.jpg,4
fig-000097,"Knight (Knights Kingdom I) - Cedric the Bull, Chrome Helmet, Horn",5,https://cdn.rebrickable.com/media/sets/fig-000097.jpg,4
fig-000098,"Snowboarder, Bright Light Orange Jacket, Dark Red Legs",4,https://cdn.rebrickable.com/media/sets/fig-000098.jpg,2
fig-000099,"Astronaut, White, Light Gray Hips, Helmet with Breastplate and Large Chrome Gold Visor, Headset",5,https://cdn.rebrickable.com/media/sets/fig-000099.jpg,4
fig-000100,"Man, Blue Torso, Black Legs, Red Hard Hat",4,https://cdn.rebrickable.com/media/sets/fig-000100.jpg,0
fig-000101,"Man, Blue Overalls over Shirt, Red Hard Hat, Orange Vest, Orange Sunglasses",5,https://cdn.rebrickable.com/media/sets/fig-000101.jpg,6
fig-000102,"Space Port Ground Grew, White Jacket, Black Legs, White Hard Hat, Beard and Glasses",4,https://cdn.rebrickable.com/media/sets/fig-000102.jpg,3
fig-000103,"Astronaut, White, Light Gray Hips, Helmet with Large Chrome Gold Visor, Headset",5,https://cdn.rebrickable.com/media/sets/fig-000103.jpg,4
fig-000104,"Racer, Plain Black, White Helmet (3842b Helmet)",4,https://cdn.rebrickable.com/media/sets/fig-000104.jpg,3
fig-000105,"Spaceman, Doc",5,https://cdn.rebrickable.com/media/sets/fig-000105.jpg,4
fig-000106,"Blacktron II - Jetpack, 3626a Head",8,https://cdn.rebrickable.com/media/sets/fig-000106.jpg,4
fig-000107,"Blacktron II - Jetpack, 3626b Head",8,https://cdn.rebrickable.com/media/sets/fig-000107.jpg,4
fig-000108,"Policeman, Black Jacket with Zipper, Radio, and Badge, White Hat, Sunglasses",4,https://cdn.rebrickable.com/media/sets/fig-000108.jpg,3
fig-000109,Cole (The Golden Weapons),4,https://cdn.rebrickable.com/media/sets/fig-000109.jpg,4
fig-000110,Mermaid,4,https://cdn.rebrickable.com/media/sets/fig-000110.jpg,4
fig-000111,Zane DX,4,https://cdn.rebrickable.com/media/sets/fig-000111.jpg,4
fig-000112,LEGOLAND Red with Black hat,4,https://cdn.rebrickable.com/media/sets/fig-000112.jpg,3
fig-000113,Ice Planet - White Hair,6,https://cdn.rebrickable.com/media/sets/fig-000113.jpg,4
fig-000114,Spyrius,6,https://cdn.rebrickable.com/media/sets/fig-000114.jpg,4
fig-000115,TC-4,3,https://cdn.rebrickable.com/media/sets/fig-000115.jpg,4
fig-000116,"Arctic Crew, Black, White Cap",4,https://cdn.rebrickable.com/media/sets/fig-000116.jpg,3
fig-000117,Sumo Wrestler (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000117.jpg,4
fig-000118,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair",4,https://cdn.rebrickable.com/media/sets/fig-000118.jpg,8
fig-000119,"Spaceman, Assistant (23318 Visor)",5,https://cdn.rebrickable.com/media/sets/fig-000119.jpg,4
fig-000120,"Santa, Plain Yellow, Black Hips",5,https://cdn.rebrickable.com/media/sets/fig-000120.jpg,7
fig-000121,"White Torso, Red Legs, Black Hair",4,https://cdn.rebrickable.com/media/sets/fig-000121.jpg,0
fig-000122,Legolas Greenleaf,4,https://cdn.rebrickable.com/media/sets/fig-000122.jpg,4
fig-000123,Snap Lockitt,4,https://cdn.rebrickable.com/media/sets/fig-000123.jpg,4
fig-000124,"Chewbacca, Reddish Brown",3,https://cdn.rebrickable.com/media/sets/fig-000124.jpg,4
fig-000125,Worriz in Fire Chi Outfit,4,https://cdn.rebrickable.com/media/sets/fig-000125.jpg,4
fig-000126,"Racer, Yellow and White Outfit with Tiger, Black Diving Helmet with Visor",5,https://cdn.rebrickable.com/media/sets/fig-000126.jpg,3
fig-000127,"Construction Worker, Blue Overalls, Red Hard Hat",4,https://cdn.rebrickable.com/media/sets/fig-000127.jpg,6
fig-000128,"Man, White Vest with Truck, Blue Legs, Red Cap (3626a Head)",4,https://cdn.rebrickable.com/media/sets/fig-000128.jpg,0
fig-000129,Director,4,https://cdn.rebrickable.com/media/sets/fig-000129.jpg,4
fig-000130,"White Torso, Black Legs, Dark Brown Hair, Glasses",4,https://cdn.rebrickable.com/media/sets/fig-000130.jpg,8
fig-000131,Marge Simpson (CMF),4,https://cdn.rebrickable.com/media/sets/fig-000131.jpg,4
fig-000132,Monster with Black Helmet,4,https://cdn.rebrickable.com/media/sets/fig-000132.jpg,3
fig-000133,"Man, Plain Blue, White Helmet with Visor",5,https://cdn.rebrickable.com/media/sets/fig-000133.jpg,6
fig-000134,"Construction Worker, Red Torso, Blue Legs, Red Hard Hat, Yellow Vest",5,https://cdn.rebrickable.com/media/sets/fig-000134.jpg,0
fig-000135,"Racer, Blue Jumpsuit with Octan Logo, White Helmet with Visor, Yellow Life Vest",6,https://cdn.rebrickable.com/media/sets/fig-000135.jpg,6
fig-000136,"Paramedic, Vibrant Yellow Safety Vest, Dark Turquoise Legs, Dark Orange Hair, Safety Glasses",5,https://cdn.rebrickable.com/media/sets/fig-000136.jpg,6
fig-000137,Soldier (Imperial Soldier) - Bicorne Hat,5,https://cdn.rebrickable.com/media/sets/fig-000137.jpg,4
fig-000138,"Axel, Trans-Neon Green Visor",5,https://cdn.rebrickable.com/media/sets/fig-000138.jpg,4
fig-000139,"Worker - Blue Torso, Orange Overall, Black Cap",4,https://cdn.rebrickable.com/media/sets/fig-000139.jpg,6
fig-000140,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Red Hard Hat, Stubble",4,https://cdn.rebrickable.com/media/sets/fig-000140.jpg,6
fig-000141,"Volcano Explorer, Man, Olive Green Jumpsuit with Straps, White Hard Hat with Visor, Breathing Apparatus, Airtanks, Goatee Beard",7,https://cdn.rebrickable.com/media/sets/fig-000141.jpg,4
fig-000142,"AT-AT Driver, Sand Blue Uniform",4,https://cdn.rebrickable.com/media/sets/fig-000142.jpg,6
fig-000143,Gorzan with Flat Silver Shoulder Armor,6,https://cdn.rebrickable.com/media/sets/fig-000143.jpg,4
