year,color_name,rgb,total_quantity
1949.0,White,FFFFFF,199
1950.0,Blue,0055BF,10
1953.0,Green,237841,26
1954.0,Red,C91A09,70
1955.0,White,FFFFFF,488
1956.0,White,FFFFFF,297
1957.0,White,FFFFFF,987
1958.0,White,FFFFFF,1461
1959.0,Red,C91A09,22
1960.0,White,FFFFFF,287
1961.0,White,FFFFFF,1150
1962.0,White,FFFFFF,797
1963.0,Modulex White,F4F4F4,2998
1964.0,Red,C91A09,521
1965.0,White,FFFFFF,501
1966.0,White,FFFFFF,2411
1967.0,Red,C91A09,1101
1968.0,Red,C91A09,2068
1969.0,Red,C91A09,1928
1970.0,Red,C91A09,1145
1971.0,Red,C91A09,1837
1972.0,Red,C91A09,1267
1973.0,Red,C91A09,2434
1974.0,Red,C91A09,1076
1975.0,Red,C91A09,1538
1976.0,Black,05131D,2900
1977.0,Black,05131D,2195
1978.0,Black,05131D,2953
1979.0,Light Gray,9BA19D,2334
1980.0,Black,05131D,3478
1981.0,Black,05131D,2148
1982.0,Black,05131D,1114
1983.0,Black,05131D,1863
1984.0,Black,05131D,1990
1985.0,Black,05131D,4583
1986.0,Black,05131D,4060
1987.0,Black,05131D,3828
1988.0,Black,05131D,3259
1989.0,Black,05131D,5210
1990.0,Red,C91A09,4335
1991.0,Black,05131D,5705
1992.0,Black,05131D,4668
1993.0,Black,05131D,5684
1994.0,Black,05131D,6199
1995.0,Black,05131D,6642
1996.0,Black,05131D,9742
1997.0,Black,05131D,7345
1998.0,Black,05131D,12086
1999.0,Black,05131D,8332
2000.0,Black,05131D,9095
2001.0,Black,05131D,11306
2002.0,Black,05131D,15478
2003.0,Black,05131D,17697
2004.0,Black,05131D,12297
2005.0,Black,05131D,18729
2006.0,Black,05131D,21962
2007.0,Black,05131D,17930
2008.0,Black,05131D,19501
2009.0,Black,05131D,18543
2010.0,Black,05131D,19370
2011.0,Black,05131D,20087
2012.0,Light Bluish Gray,A0A5A9,19516
2013.0,Black,05131D,23549
2014.0,Black,05131D,27127
2015.0,Black,05131D,28463
2016.0,Black,05131D,28123
2017.0,Light Bluish Gray,A0A5A9,36910
2018.0,Black,05131D,36043
2019.0,Black,05131D,37693
2020.0,Black,05131D,48731
2021.0,Black,05131D,56582
2022.0,Black,05131D,48114
2023.0,Black,05131D,51671
2024.0,Black,05131D,57133
2025.0,Black,05131D,63547
2026.0,Black,05131D,39302
