set_num,set_name,year,theme_id,theme_name,num_parts,num_distinct_colors
0003977811-1,Ninjago: Book of Adventures,2022.0,761.0,Activity Books with LEGO Parts,1.0,1
001-1,Gears,1965.0,756.0,Samsonite,43.0,5
0012-1,Space Mini-Figures,1979.0,143.0,Supplemental,12.0,1
0013-1,Space Mini-Figures,1979.0,143.0,Supplemental,12.0,1
0014-1,Space Mini-Figures,1982.0,143.0,Supplemental,2.0,1
0015-1,Space Mini-Figures,1979.0,143.0,Supplemental,18.0,1
0016-1,Castle Mini Figures,1979.0,189.0,Classic Castle,15.0,1
002-1,4.5V Samsonite Gears Motor Set,1965.0,756.0,Samsonite,3.0,1
003-1,Master Mechanic Set,1966.0,756.0,Samsonite,403.0,7
004-1,Master Builder Set,1966.0,756.0,Samsonite,817.0,7
005-1,Basic Building Set in Cardboard,1965.0,365.0,System,35.0,3
01-1,Chain Links,1980.0,453.0,Technic,25.0,1
01-2,Bulldozer Chain Links,1982.0,453.0,Technic,50.0,1
010-1,Basic Building Set in Cardboard,1965.0,365.0,System,57.0,7
010-2,Pre-School Set,1973.0,505.0,Basic Set,18.0,4
010-3,Basic Building Set,1968.0,365.0,System,77.0,7
010423-1,The Majestic Horse,2023.0,721.0,Icons,492.0,16
011-1,Basic Building Set,1968.0,365.0,System,145.0,7
02-1,Extra Large Tires & Hubs,1982.0,453.0,Technic,4.0,2
02-2,Digger Bucket Assembly,1980.0,443.0,Service Packs,3.0,2
020-1,Basic Building Set in Cardboard,1965.0,365.0,System,94.0,7
021-1,Wheel Set,1966.0,756.0,Samsonite,183.0,8
022-1,Basic Building Set,1968.0,365.0,System,110.0,7
0241187567-1,Ninjago: Build Your Own Adventure,2015.0,761.0,Activity Books with LEGO Parts,74.0,8
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019.0,761.0,Activity Books with LEGO Parts,70.0,10
028-1,Nursery Furniture,1979.0,652.0,Playhouse,7.0,5
03-1,Doors and Fences,1980.0,443.0,Service Packs,10.0,2
030-2,Building Set,1973.0,505.0,Basic Set,29.0,4
03093-1,The Race to Build It Board Game,1999.0,674.0,Early Creator,99.0,11
032-1,Living Room,1979.0,652.0,Playhouse,14.0,4
033-1,Farm Animals,1979.0,632.0,Town,21.0,7
033-2,Basic Building Set,1968.0,365.0,System,177.0,7
04-1,Propellers and Wheels,1980.0,443.0,Service Packs,13.0,5
041-1,Pre-School Beginners Set,1964.0,369.0,Jumbo Bricks,24.0,2
041-2,Playhouse,1979.0,652.0,Playhouse,1.0,1
042-1,Jumbo Brick Pull Toy,1966.0,369.0,Jumbo Bricks,9.0,3
044-1,Basic Building Set,1968.0,365.0,System,225.0,7
044-2,Jumbo Bricks,1969.0,369.0,Jumbo Bricks,30.0,3
045-1,Farm,1979.0,632.0,Town,66.0,10
045-2,Assorted Clear Bricks & Plates,1969.0,756.0,Samsonite,37.0,2
047-1,Gates and Fences,1969.0,756.0,Samsonite,15.0,1
049-1,Windows / Doors & Trees / Bushes,1969.0,756.0,Samsonite,27.0,2
05-1,Hinges,1980.0,443.0,Service Packs,3.0,1
050-2,Lighting Device Pack,1969.0,756.0,Samsonite,4.0,3
051-1,Assorted Basic Bricks - Red,1966.0,756.0,Samsonite,50.0,1
052-1,Assorted Basic Bricks - White,1966.0,756.0,Samsonite,50.0,2
053-1,Assorted Basic Bricks - Blue,1966.0,756.0,Samsonite,50.0,2
054-1,Assorted Basic Bricks - Yellow,1966.0,756.0,Samsonite,50.0,2
055-1,Trees & Bushes,1966.0,756.0,Samsonite,25.0,2
055-2,Basic Building Set,1968.0,365.0,System,256.0,7
057-1,Large Wheels,1966.0,756.0,Samsonite,17.0,4
058-1,Small Wheels,1966.0,756.0,Samsonite,26.0,3
06-1,Motor Wires,1980.0,453.0,Technic,6.0,1
060-1,Assorted White Plates,1966.0,756.0,Samsonite,15.0,2
060-3,Jumbo Brick School Set,1968.0,369.0,Jumbo Bricks,60.0,3
061-1,Five Large Base Plates - Green,1966.0,756.0,Samsonite,5.0,1
062-1,Five Large Base Plates - White,1966.0,756.0,Samsonite,5.0,1
063-1,Five Large Base Plates - Blue,1966.0,756.0,Samsonite,5.0,1
063-2,Ducks,1978.0,505.0,Basic Set,18.0,3
065-1,Two Garage Door Kits,1969.0,756.0,Samsonite,6.0,2
066-1,Basic Building Set,1968.0,365.0,System,407.0,8
066-2,Governor Set,1968.0,756.0,Samsonite,407.0,8
07-1,Battery Box,1980.0,453.0,Technic,1.0,1
071-1,Block Box,1979.0,505.0,Basic Set,24.0,4
074-1,Pre-School Set,1976.0,505.0,Basic Set,20.0,3
075-1,Pre-School Set,1975.0,505.0,Basic Set,17.0,4
0756668530-1,Atlantis: Brickmaster,2010.0,761.0,Activity Books with LEGO Parts,157.0,16
0756672805-1,Pirates: Brickmaster,2009.0,761.0,Activity Books with LEGO Parts,162.0,17
0756682762-1,Ninjago: Brickmaster,2011.0,761.0,Activity Books with LEGO Parts,154.0,15
077-1,Pre-School Set,1975.0,505.0,Basic Set,21.0,4
078-1,Roadway Base Plate,1970.0,756.0,Samsonite,1.0,1
08-1,4.5V Replacement Motor,1982.0,453.0,Technic,1.0,1
080-1,Basic Building Set with Train,1967.0,365.0,System,712.0,8
080-2,Ambassador Set,1967.0,756.0,Samsonite,712.0,8
080-3,Police Station,1976.0,505.0,Basic Set,24.0,5
082-1,Legoville,1976.0,505.0,Basic Set,63.0,5
085-1,Racer,1977.0,505.0,Basic Set,4.0,2
086-1,Tub Boat,1978.0,632.0,Town,3.0,3
088-1,Super Set,1969.0,465.0,Universal Building Set,615.0,8
09-1,Trees & Flowers,1981.0,443.0,Service Packs,22.0,5
1-1,Mini-Wheel Model Maker No. 1,1971.0,756.0,Samsonite,87.0,5
1-11,Basic Souvenir Box,1981.0,465.0,Universal Building Set,36.0,6
1-12,Small Basic Set,1977.0,433.0,Minitalia,94.0,6
1-3,Velveeta Set No. 1,1967.0,756.0,Samsonite,74.0,4
1-7,Basic Set,1973.0,465.0,Universal Building Set,107.0,6
1-8,Little House Set,1970.0,433.0,Minitalia,67.0,3
10-1,Universal Building Set,1976.0,465.0,Universal Building Set,129.0,7
10-2,Tree and Signs,1980.0,443.0,Service Packs,7.0,2
100-1,4.5V Motor with Wheels (Small Version),1966.0,235.0,4.5V,15.0,4
100-2,4.5V Motor with Wheels (Large Version),1966.0,235.0,4.5V,27.0,4
1000-1,Mosaic Set,1985.0,516.0,Duplo and Explore,202.0,2
10000-1,Guarded Inn,2001.0,199.0,Lion Knights,256.0,9
10001-1,Metroliner,2001.0,236.0,9V,787.0,12
10002-1,Railroad Club Car,2001.0,236.0,9V,293.0,8
10003-1,1 x 2 Sand Red Bricks,2001.0,254.0,Bulk Bricks,100.0,1
10004-1,2 x 2 Sand Red Bricks,2001.0,254.0,Bulk Bricks,100.0,1
10005-1,2 x 4 Sand Red Bricks,2001.0,254.0,Bulk Bricks,50.0,1
10006-1,1 x 6 Sand Red Bricks,2001.0,254.0,Bulk Bricks,50.0,1
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001.0,254.0,Bulk Bricks,25.0,1
10008-1,2 x 4 Roof Tile Sand Red,2001.0,254.0,Bulk Bricks,50.0,1
10009-1,Assorted Blue Bricks,2001.0,254.0,Bulk Bricks,62.0,1
10010-1,Assorted Yellow Bricks,2003.0,254.0,Bulk Bricks,62.0,1
10011-1,Assorted Blue Plates,2001.0,254.0,Bulk Bricks,42.0,1
10012-1,Assorted Yellow Plates,2001.0,254.0,Bulk Bricks,42.0,1
10013-1,Open Freight Wagon,2001.0,236.0,9V,121.0,5
10014-1,Caboose,2001.0,236.0,9V,170.0,8
10015-1,Passenger Wagon,2001.0,236.0,9V,194.0,9
10016-1,Tanker,2001.0,236.0,9V,128.0,5
10017-1,Hopper Wagon,2001.0,236.0,9V,228.0,6
10018-1,Darth Maul,2001.0,171.0,Ultimate Collector Series,1868.0,11
10019-1,Rebel Blockade Runner,2001.0,171.0,Ultimate Collector Series,1748.0,12
10020-1,Santa Fe Super Chief,2002.0,236.0,9V,435.0,10
10020-2,Santa Fe Super Chief - Limited Edition,2002.0,236.0,9V,441.0,10
10021-1,U.S.S. Constellation,2003.0,404.0,Hobby Sets,975.0,6
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002.0,236.0,9V,411.0,13
10023-1,Master Builder Set,2002.0,324.0,Bionicle,111.0,7
10024-1,Red Baron,2002.0,673.0,Creator Expert,670.0,10
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002.0,236.0,9V,326.0,12
10026-1,Naboo Starfighter,2002.0,171.0,Ultimate Collector Series,188.0,9
10027-1,Train Engine Shed,2003.0,105.0,World City,670.0,13
10029-1,Lunar Lander,2003.0,387.0,Discovery,469.0,11
10030-1,Imperial Star Destroyer,2002.0,171.0,Ultimate Collector Series,3116.0,14
10036-1,Pizza To Go,2002.0,50.0,Town,151.0,12
10037-1,Breezeway Cafe,2002.0,50.0,Town,195.0,11
10039-1,Black Falcon's Fortress,2002.0,187.0,Black Falcons,430.0,8
10040-1,Black Seas Barracuda,2002.0,148.0,Pirates I,916.0,9
10041-1,Main Street,2003.0,50.0,Town,640.0,12
10042-1,American Flag,2003.0,206.0,Seasonal,35.0,3
10043-1,2x2 Electrical Plate,2002.0,254.0,Bulk Bricks,1.0,1
10044-1,Windows and Doors,2002.0,254.0,Bulk Bricks,44.0,4
10045-1,Pillars and Beams,2002.0,254.0,Bulk Bricks,13.0,2
10046-1,Brown Tiles,2002.0,254.0,Bulk Bricks,100.0,1
10047-1,Light Gray Arches,2002.0,254.0,Bulk Bricks,36.0,1
10048-1,Small Wheels and Axles,2002.0,254.0,Bulk Bricks,61.0,2
10049-1,Large Wheels and Axles,2002.0,254.0,Bulk Bricks,31.0,4
10050-1,Gray Fences,2002.0,254.0,Bulk Bricks,34.0,1
10051-1,Transparent Bricks,2002.0,254.0,Bulk Bricks,50.0,1
10052-1,Intelligent Locomotive (Explore),2003.0,634.0,Trains,7.0,6
10053-1,Black Slopes 33,2003.0,254.0,Bulk Bricks,44.0,1
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003.0,254.0,Bulk Bricks,68.0,1
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003.0,254.0,Bulk Bricks,50.0,1
10056-1,White Plates 2 x n,2002.0,254.0,Bulk Bricks,56.0,1
10057-1,Black Plates 2 x n,2002.0,254.0,Bulk Bricks,56.0,1
10058-1,Red Plates 2 x n,2002.0,254.0,Bulk Bricks,56.0,1
10059-1,Dark Green Plates 2 x n,2002.0,254.0,Bulk Bricks,56.0,1
10060-1,Light Gray Plates 2 x n,2002.0,254.0,Bulk Bricks,56.0,1
10061-1,Black Plates 1 x n,2002.0,254.0,Bulk Bricks,84.0,1
10062-1,Red Plates 1 x n,2002.0,254.0,Bulk Bricks,84.0,1
10063-1,Green Plates 1 x n,2002.0,254.0,Bulk Bricks,84.0,1
10064-1,Light Gray Plates 1 x n,2002.0,254.0,Bulk Bricks,84.0,1
10065-1,White Plates 1 x n,2002.0,254.0,Bulk Bricks,84.0,1
10066-1,Castle Accessories,2002.0,254.0,Bulk Bricks,41.0,10
10067-1,Mini-Fig Headgear,2002.0,254.0,Bulk Bricks,53.0,13
10068-1,Santa Claus,2002.0,227.0,Christmas,39.0,5
10069-1,Christmas Tree,2002.0,227.0,Christmas,33.0,2
