set_num,year,num_distinct_colors,name,num_parts,theme_id,id,name_theme
0003977811-1,2022.0,1,Ninjago: Book of Adventures,1,761,761,Activity Books with LEGO Parts
001-1,1965.0,5,Gears,43,756,756,Samsonite
0012-1,1979.0,1,Space Mini-Figures,12,143,143,Supplemental
0013-1,1979.0,1,Space Mini-Figures,12,143,143,Supplemental
0014-1,1982.0,1,Space Mini-Figures,2,143,143,Supplemental
0015-1,1979.0,1,Space Mini-Figures,18,143,143,Supplemental
0016-1,1979.0,1,Castle Mini Figures,15,189,189,Classic Castle
002-1,1965.0,1,4.5V Samsonite Gears Motor Set,3,756,756,Samsonite
003-1,1966.0,7,Master Mechanic Set,403,756,756,Samsonite
004-1,1966.0,7,Master Builder Set,817,756,756,Samsonite
005-1,1965.0,3,Basic Building Set in Cardboard,35,365,365,System
01-1,1980.0,1,Chain Links,25,453,453,Technic
01-2,1982.0,1,Bulldozer Chain Links,50,453,453,Technic
010-1,1965.0,7,Basic Building Set in Cardboard,57,365,365,System
010-2,1973.0,4,Pre-School Set,18,505,505,Basic Set
010-3,1968.0,7,Basic Building Set,77,365,365,System
010423-1,2023.0,16,The Majestic Horse,492,721,721,Icons
011-1,1968.0,7,Basic Building Set,145,365,365,System
02-1,1982.0,2,Extra Large Tires & Hubs,4,453,453,Technic
02-2,1980.0,2,Digger Bucket Assembly,3,443,443,Service Packs
020-1,1965.0,7,Basic Building Set in Cardboard,94,365,365,System
021-1,1966.0,8,Wheel Set,183,756,756,Samsonite
022-1,1968.0,7,Basic Building Set,110,365,365,System
0241187567-1,2015.0,8,Ninjago: Build Your Own Adventure,74,761,761,Activity Books with LEGO Parts
0241357594-1,2019.0,10,Star Wars: Build Your Own Adventure: Galactic Missions,70,761,761,Activity Books with LEGO Parts
028-1,1979.0,5,Nursery Furniture,7,652,652,Playhouse
03-1,1980.0,2,Doors and Fences,10,443,443,Service Packs
030-2,1973.0,4,Building Set,29,505,505,Basic Set
03093-1,1999.0,11,The Race to Build It Board Game,99,674,674,Early Creator
032-1,1979.0,4,Living Room,14,652,652,Playhouse
033-1,1979.0,7,Farm Animals,21,632,632,Town
033-2,1968.0,7,Basic Building Set,177,365,365,System
04-1,1980.0,5,Propellers and Wheels,13,443,443,Service Packs
041-1,1964.0,2,Pre-School Beginners Set,24,369,369,Jumbo Bricks
041-2,1979.0,1,Playhouse,1,652,652,Playhouse
042-1,1966.0,3,Jumbo Brick Pull Toy,9,369,369,Jumbo Bricks
044-1,1968.0,7,Basic Building Set,225,365,365,System
044-2,1969.0,3,Jumbo Bricks,30,369,369,Jumbo Bricks
045-1,1979.0,10,Farm,66,632,632,Town
045-2,1969.0,2,Assorted Clear Bricks & Plates,37,756,756,Samsonite
047-1,1969.0,1,Gates and Fences,15,756,756,Samsonite
049-1,1969.0,2,Windows / Doors & Trees / Bushes,27,756,756,Samsonite
05-1,1980.0,1,Hinges,3,443,443,Service Packs
050-2,1969.0,3,Lighting Device Pack,4,756,756,Samsonite
051-1,1966.0,1,Assorted Basic Bricks - Red,50,756,756,Samsonite
052-1,1966.0,2,Assorted Basic Bricks - White,50,756,756,Samsonite
053-1,1966.0,2,Assorted Basic Bricks - Blue,50,756,756,Samsonite
054-1,1966.0,2,Assorted Basic Bricks - Yellow,50,756,756,Samsonite
055-1,1966.0,2,Trees & Bushes,25,756,756,Samsonite
055-2,1968.0,7,Basic Building Set,256,365,365,System
057-1,1966.0,4,Large Wheels,17,756,756,Samsonite
058-1,1966.0,3,Small Wheels,26,756,756,Samsonite
06-1,1980.0,1,Motor Wires,6,453,453,Technic
060-1,1966.0,2,Assorted White Plates,15,756,756,Samsonite
060-3,1968.0,3,Jumbo Brick School Set,60,369,369,Jumbo Bricks
061-1,1966.0,1,Five Large Base Plates - Green,5,756,756,Samsonite
062-1,1966.0,1,Five Large Base Plates - White,5,756,756,Samsonite
063-1,1966.0,1,Five Large Base Plates - Blue,5,756,756,Samsonite
063-2,1978.0,3,Ducks,18,505,505,Basic Set
065-1,1969.0,2,Two Garage Door Kits,6,756,756,Samsonite
066-1,1968.0,8,Basic Building Set,407,365,365,System
066-2,1968.0,8,Governor Set,407,756,756,Samsonite
07-1,1980.0,1,Battery Box,1,453,453,Technic
071-1,1979.0,4,Block Box,24,505,505,Basic Set
074-1,1976.0,3,Pre-School Set,20,505,505,Basic Set
075-1,1975.0,4,Pre-School Set,17,505,505,Basic Set
0756668530-1,2010.0,16,Atlantis: Brickmaster,157,761,761,Activity Books with LEGO Parts
0756672805-1,2009.0,17,Pirates: Brickmaster,162,761,761,Activity Books with LEGO Parts
0756682762-1,2011.0,15,Ninjago: Brickmaster,154,761,761,Activity Books with LEGO Parts
077-1,1975.0,4,Pre-School Set,21,505,505,Basic Set
078-1,1970.0,1,Roadway Base Plate,1,756,756,Samsonite
08-1,1982.0,1,4.5V Replacement Motor,1,453,453,Technic
080-1,1967.0,8,Basic Building Set with Train,712,365,365,System
080-2,1967.0,8,Ambassador Set,712,756,756,Samsonite
080-3,1976.0,5,Police Station,24,505,505,Basic Set
082-1,1976.0,5,Legoville,63,505,505,Basic Set
085-1,1977.0,2,Racer,4,505,505,Basic Set
086-1,1978.0,3,Tub Boat,3,632,632,Town
088-1,1969.0,8,Super Set,615,465,465,Universal Building Set
09-1,1981.0,5,Trees & Flowers,22,443,443,Service Packs
1-1,1971.0,5,Mini-Wheel Model Maker No. 1,87,756,756,Samsonite
1-11,1981.0,6,Basic Souvenir Box,36,465,465,Universal Building Set
1-12,1977.0,6,Small Basic Set,94,433,433,Minitalia
1-3,1967.0,4,Velveeta Set No. 1,74,756,756,Samsonite
1-7,1973.0,6,Basic Set,107,465,465,Universal Building Set
1-8,1970.0,3,Little House Set,67,433,433,Minitalia
10-1,1976.0,7,Universal Building Set,129,465,465,Universal Building Set
10-2,1980.0,2,Tree and Signs,7,443,443,Service Packs
100-1,1966.0,4,4.5V Motor with Wheels (Small Version),15,235,235,4.5V
100-2,1966.0,4,4.5V Motor with Wheels (Large Version),27,235,235,4.5V
1000-1,1985.0,2,Mosaic Set,202,516,516,Duplo and Explore
10000-1,2001.0,9,Guarded Inn,256,199,199,Lion Knights
10001-1,2001.0,12,Metroliner,787,236,236,9V
10002-1,2001.0,8,Railroad Club Car,293,236,236,9V
10003-1,2001.0,1,1 x 2 Sand Red Bricks,100,254,254,Bulk Bricks
10004-1,2001.0,1,2 x 2 Sand Red Bricks,100,254,254,Bulk Bricks
10005-1,2001.0,1,2 x 4 Sand Red Bricks,50,254,254,Bulk Bricks
10006-1,2001.0,1,1 x 6 Sand Red Bricks,50,254,254,Bulk Bricks
10007-1,2001.0,1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,25,254,254,Bulk Bricks
10008-1,2001.0,1,2 x 4 Roof Tile Sand Red,50,254,254,Bulk Bricks
10009-1,2001.0,1,Assorted Blue Bricks,62,254,254,Bulk Bricks
10010-1,2003.0,1,Assorted Yellow Bricks,62,254,254,Bulk Bricks
10011-1,2001.0,1,Assorted Blue Plates,42,254,254,Bulk Bricks
10012-1,2001.0,1,Assorted Yellow Plates,42,254,254,Bulk Bricks
10013-1,2001.0,5,Open Freight Wagon,121,236,236,9V
10014-1,2001.0,8,Caboose,170,236,236,9V
10015-1,2001.0,9,Passenger Wagon,194,236,236,9V
10016-1,2001.0,5,Tanker,128,236,236,9V
10017-1,2001.0,6,Hopper Wagon,228,236,236,9V
10018-1,2001.0,11,Darth Maul,1868,171,171,Ultimate Collector Series
10019-1,2001.0,12,Rebel Blockade Runner,1748,171,171,Ultimate Collector Series
10020-1,2002.0,10,Santa Fe Super Chief,435,236,236,9V
10020-2,2002.0,10,Santa Fe Super Chief - Limited Edition,441,236,236,9V
10021-1,2003.0,6,U.S.S. Constellation,975,404,404,Hobby Sets
10022-1,2002.0,13,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",411,236,236,9V
10023-1,2002.0,7,Master Builder Set,111,324,324,Bionicle
10024-1,2002.0,10,Red Baron,670,673,673,Creator Expert
10025-1,2002.0,12,Santa Fe Cars - Set I (mail or baggage car),326,236,236,9V
10026-1,2002.0,9,Naboo Starfighter,188,171,171,Ultimate Collector Series
10027-1,2003.0,13,Train Engine Shed,670,105,105,World City
10029-1,2003.0,11,Lunar Lander,469,387,387,Discovery
10030-1,2002.0,14,Imperial Star Destroyer,3116,171,171,Ultimate Collector Series
10036-1,2002.0,12,Pizza To Go,151,50,50,Town
10037-1,2002.0,11,Breezeway Cafe,195,50,50,Town
10039-1,2002.0,8,Black Falcon's Fortress,430,187,187,Black Falcons
10040-1,2002.0,9,Black Seas Barracuda,916,148,148,Pirates I
10041-1,2003.0,12,Main Street,640,50,50,Town
10042-1,2003.0,3,American Flag,35,206,206,Seasonal
10043-1,2002.0,1,2x2 Electrical Plate,1,254,254,Bulk Bricks
10044-1,2002.0,4,Windows and Doors,44,254,254,Bulk Bricks
10045-1,2002.0,2,Pillars and Beams,13,254,254,Bulk Bricks
10046-1,2002.0,1,Brown Tiles,100,254,254,Bulk Bricks
10047-1,2002.0,1,Light Gray Arches,36,254,254,Bulk Bricks
10048-1,2002.0,2,Small Wheels and Axles,61,254,254,Bulk Bricks
10049-1,2002.0,4,Large Wheels and Axles,31,254,254,Bulk Bricks
10050-1,2002.0,1,Gray Fences,34,254,254,Bulk Bricks
10051-1,2002.0,1,Transparent Bricks,50,254,254,Bulk Bricks
10052-1,2003.0,6,Intelligent Locomotive (Explore),7,634,634,Trains
10053-1,2003.0,1,Black Slopes 33,44,254,254,Bulk Bricks
10054-1,2003.0,1,Black Slopes 33 3 x 2 and 3 x 4,68,254,254,Bulk Bricks
10055-1,2003.0,1,Black Slopes 33 3 x 1 and 3 x 3,50,254,254,Bulk Bricks
10056-1,2002.0,1,White Plates 2 x n,56,254,254,Bulk Bricks
10057-1,2002.0,1,Black Plates 2 x n,56,254,254,Bulk Bricks
10058-1,2002.0,1,Red Plates 2 x n,56,254,254,Bulk Bricks
10059-1,2002.0,1,Dark Green Plates 2 x n,56,254,254,Bulk Bricks
10060-1,2002.0,1,Light Gray Plates 2 x n,56,254,254,Bulk Bricks
10061-1,2002.0,1,Black Plates 1 x n,84,254,254,Bulk Bricks
10062-1,2002.0,1,Red Plates 1 x n,84,254,254,Bulk Bricks
10063-1,2002.0,1,Green Plates 1 x n,84,254,254,Bulk Bricks
