set_num,set_name,year,theme_id,theme_name,num_parts,age_group_heuristic
0003977811-1,Ninjago: Book of Adventures,2022,761,Activity Books with LEGO Parts,1,Unspecified
001-1,Gears,1965,756,Samsonite,43,Unspecified
0011-2,Town Mini-Figures,1979,67,Classic Town,12,Core Kids (6–12)
0011-3,Castle 2 for 1 Bonus Offer,1987,199,Lion Knights,0,Unspecified
0012-1,Space Mini-Figures,1979,143,Supplemental,12,Unspecified
0013-1,Space Mini-Figures,1979,143,Supplemental,12,Unspecified
0014-1,Space Mini-Figures,1982,143,Supplemental,2,Unspecified
0015-1,Space Mini-Figures,1979,143,Supplemental,18,Unspecified
0016-1,Castle Mini Figures,1979,189,Classic Castle,15,Core Kids (6–12)
002-1,4.5V Samsonite Gears Motor Set,1965,756,Samsonite,3,Unspecified
003-1,Master Mechanic Set,1966,756,Samsonite,403,Unspecified
004-1,Master Builder Set,1966,756,Samsonite,817,Unspecified
005-1,Basic Building Set in Cardboard,1965,365,System,35,Unspecified
005-2,Discovery Set,1967,756,Samsonite,0,Unspecified
00-6,Special Offer,1985,67,Classic Town,0,Core Kids (6–12)
00747-1,BIONICLE Quest for Makuta: Adventure Game,2001,741,Tabletop Games and Puzzles,0,Unspecified
010-1,Basic Building Set in Cardboard,1965,365,System,57,Unspecified
010-2,Pre-School Set,1973,505,Basic Set,18,Unspecified
010-3,Basic Building Set,1968,365,System,77,Unspecified
010423-1,The Majestic Horse,2023,721,Icons,492,Unspecified
01-1,Chain Links,1980,453,Technic,25,Advanced / Adult
011-1,Basic Building Set,1968,365,System,145,Unspecified
01-2,Bulldozer Chain Links,1982,453,Technic,50,Advanced / Adult
020-1,Basic Building Set in Cardboard,1965,365,System,94,Unspecified
02-1,Extra Large Tires & Hubs,1982,453,Technic,4,Advanced / Adult
021-1,Wheel Set,1966,756,Samsonite,183,Unspecified
02-2,Digger Bucket Assembly,1980,443,Service Packs,3,Unspecified
022-1,Basic Building Set,1968,365,System,110,Unspecified
022-2,Doll Furniture,1965,756,Samsonite,0,Unspecified
0241187567-1,Ninjago: Build Your Own Adventure,2015,761,Activity Books with LEGO Parts,74,Unspecified
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,761,Activity Books with LEGO Parts,70,Unspecified
028-1,Nursery Furniture,1979,652,Playhouse,7,Unspecified
030-2,Building Set,1973,505,Basic Set,29,Unspecified
03093-1,The Race to Build It Board Game,1999,674,Early Creator,99,Core Kids (6–12)
03-1,Doors and Fences,1980,443,Service Packs,10,Unspecified
032-1,Living Room,1979,652,Playhouse,14,Unspecified
033-1,Farm Animals,1979,632,Town,21,Unspecified
033-2,Basic Building Set,1968,365,System,177,Unspecified
04-1,Propellers and Wheels,1980,443,Service Packs,13,Unspecified
041-1,Pre-School Beginners Set,1964,369,Jumbo Bricks,24,Core Kids (6–12)
041-2,Playhouse,1979,652,Playhouse,1,Unspecified
042-1,Jumbo Brick Pull Toy,1966,369,Jumbo Bricks,9,Core Kids (6–12)
044-1,Basic Building Set,1968,365,System,225,Unspecified
044-2,Jumbo Bricks,1969,369,Jumbo Bricks,30,Core Kids (6–12)
045-1,Farm,1979,632,Town,66,Unspecified
045-2,Assorted Clear Bricks & Plates,1969,756,Samsonite,37,Core Kids (6–12)
047-1,Gates and Fences,1969,756,Samsonite,15,Unspecified
049-1,Windows / Doors & Trees / Bushes,1969,756,Samsonite,27,Unspecified
050-2,Lighting Device Pack,1969,756,Samsonite,4,Unspecified
05-1,Hinges,1980,443,Service Packs,3,Unspecified
051-1,Assorted Basic Bricks - Red,1966,756,Samsonite,50,Core Kids (6–12)
052-1,Assorted Basic Bricks - White,1966,756,Samsonite,50,Core Kids (6–12)
053-1,Assorted Basic Bricks - Blue,1966,756,Samsonite,50,Core Kids (6–12)
054-1,Assorted Basic Bricks - Yellow,1966,756,Samsonite,50,Core Kids (6–12)
055-1,Trees & Bushes,1966,756,Samsonite,25,Unspecified
055-2,Basic Building Set,1968,365,System,256,Unspecified
057-1,Large Wheels,1966,756,Samsonite,17,Unspecified
058-1,Small Wheels,1966,756,Samsonite,26,Unspecified
060-1,Assorted White Plates,1966,756,Samsonite,15,Unspecified
060-3,Jumbo Brick School Set,1968,369,Jumbo Bricks,60,Core Kids (6–12)
06-1,Motor Wires,1980,453,Technic,6,Advanced / Adult
061-1,Five Large Base Plates - Green,1966,756,Samsonite,5,Unspecified
062-1,Five Large Base Plates - White,1966,756,Samsonite,5,Unspecified
063-1,Five Large Base Plates - Blue,1966,756,Samsonite,5,Unspecified
063-2,Ducks,1978,505,Basic Set,18,Unspecified
