theme,color,total_quantity
12V,Black,3628
12V,Blue,582
12V,Brown,6
12V,Dark Gray,449
12V,Green,1
12V,Light Gray,2080
12V,Metal,5
12V,Milky White,4
12V,Red,1734
12V,Trans-Clear,348
12V,Trans-Red,58
12V,Trans-Yellow,30
12V,White,523
12V,Yellow,791
12V,[No Color/Any Color],28
4 Juniors,Black,235
4 Juniors,Blue,28
4 Juniors,Chrome Gold,12
4 Juniors,Chrome Silver,8
4 Juniors,Dark Bluish Gray,45
4 Juniors,Dark Gray,20
4 Juniors,Green,54
4 Juniors,Light Bluish Gray,57
4 Juniors,Light Gray,37
4 Juniors,Medium Green,2
4 Juniors,Orange,4
4 Juniors,Red,121
4 Juniors,Reddish Brown,56
4 Juniors,Tan,1
4 Juniors,Trans-Brown,10
4 Juniors,Trans-Dark Blue,12
4 Juniors,Trans-Green,2
4 Juniors,Trans-Light Blue,4
4 Juniors,Trans-Medium Blue,14
4 Juniors,Trans-Neon Green,15
4 Juniors,Trans-Neon Orange,10
4 Juniors,Trans-Red,3
4 Juniors,Trans-Yellow,8
4 Juniors,White,136
4 Juniors,Yellow,136
4 Juniors,[No Color/Any Color],1
4.5V,Black,3590
4.5V,Blue,1844
4.5V,Brown,7
4.5V,Dark Gray,264
4.5V,Green,10
4.5V,Light Gray,1357
4.5V,Milky White,4
4.5V,Red,2851
4.5V,Royal Blue,1
4.5V,Trans-Clear,431
4.5V,Trans-Red,17
4.5V,Trans-Yellow,14
4.5V,White,893
4.5V,Yellow,1005
4.5V,[No Color/Any Color],30
9V,Black,7251
9V,Blue,983
9V,Brown,292
9V,Chrome Gold,16
9V,Chrome Silver,33
9V,Dark Bluish Gray,63
9V,Dark Gray,923
9V,Dark Green,95
9V,Green,357
9V,Light Bluish Gray,99
9V,Light Gray,2729
9V,Orange,61
9V,Pearl Light Gray,128
9V,Red,2535
9V,Tan,92
9V,Trans-Clear,348
9V,Trans-Dark Blue,16
9V,Trans-Green,21
9V,Trans-Light Blue,296
9V,Trans-Neon Green,45
9V,Trans-Red,139
9V,Trans-Yellow,170
9V,White,1533
9V,Yellow,1963
9V,[No Color/Any Color],46
Action Wheelers,Black,77
Action Wheelers,Blue,3
Action Wheelers,Brown,1
Action Wheelers,Chrome Silver,14
Action Wheelers,Dark Gray,18
Action Wheelers,Green,2
Action Wheelers,Light Gray,13
