name_theme,num_sets,avg_parts,max_parts
12V,53,145.50943396226415,787
4 Juniors,23,41.391304347826086,149
4.5V,88,131.73863636363637,499
9V,102,165.33333333333334,918
Action Wheelers,9,23.11111111111111,47
Activity Books,247,0.06477732793522267,9
Activity Books with LEGO Parts,445,16.119101123595506,251
Advent,5,254.8,300
Agents,13,434.0769230769231,1155
Airlines,16,60.375,144
Airport,61,231.91803278688525,914
Alien Conquest,10,227.4,879
Alpha Team,7,129.71428571428572,415
Angry Birds,6,398.0,859
Animal Crossing,19,249.68421052631578,814
Aquanauts,8,140.5,509
Aquaraiders I,3,179.66666666666666,288
Aquaraiders II,9,275.3333333333333,854
Aquasharks,4,112.75,259
Aquazone,1,26.0,26
Architecture,51,846.1764705882352,4382
Arctic,40,256.275,1525
Atlantis,24,221.70833333333334,1008
Audio and Visual Media,91,0.5714285714285714,9
Avatar,9,614.3333333333334,1217
Avatar: The Last Airbender,2,562.5,724
Avengers,100,291.18,5202
Bag and Luggage Tags,126,0.0,0
"Bags, Totes, & Luggage",773,0.0,0
Basic,202,198.22277227722773,1201
Basic Set,416,49.74038461538461,260
Basketball,35,49.714285714285715,491
Batman,145,287.5931034482759,4210
Belville,89,88.4494382022472,457
Ben 10,6,20.0,23
Bionicle,449,61.65924276169265,848
Black Falcons,7,239.71428571428572,430
Black Knights,14,144.07142857142858,688
Blacktron I,7,290.0,575
Blacktron II,14,103.85714285714286,406
Bluey,12,125.66666666666667,466
Boat,21,135.52380952380952,365
Bob the Builder,31,25.35483870967742,61
Botanicals,51,416.47058823529414,1173
Brick Sketches,8,159.875,214
BrickLink Designer Program,68,1803.8970588235295,4074
Brickheadz,197,220.66497461928935,732
Bricks & More,68,418.54411764705884,1600
Bricktober,44,99.3409090909091,234
Building,21,133.28571428571428,332
Building Set with People,32,148.5,683
Bulk Bricks,136,51.6764705882353,130
Captain America,11,232.1818181818182,808
Cargo,9,353.77777777777777,1069
Cars,58,118.10344827586206,849
Castle,36,134.58333333333334,1003
Chinese (Lunar) New Year,32,154.5625,754
Chinese Traditional Festivals,37,703.8648648648649,1823
Christmas,206,181.1893203883495,3171
Cities of Wonders,18,176.83333333333334,397
City,259,223.25096525096524,2010
City Center,22,91.68181818181819,474
Classic,79,525.5443037974684,1800
Classic Basic,53,214.20754716981133,950
Classic Castle,8,263.0,775
Classic Space,89,116.32584269662921,443
Classic Town,412,124.16747572815534,1078
Clikits,85,55.8,285
Clocks and Watches,226,14.327433628318584,102
Coast Guard,30,239.76666666666668,795
Collectible Minifigures,39,22.358974358974358,64
Competition,18,292.94444444444446,897
Constraction,16,53.4375,97
Construction,128,161.265625,1132
Control Lab,9,82.66666666666667,576
Creator,233,198.05579399141632,2000
Creator 3-in-1,274,361.41970802919707,1536
Creator Expert,51,1571.686274509804,5923
DC Comics,8,37.375,73
DC Comics Super Heroes,4,132.25,164
DC Super Hero Girls,12,308.8333333333333,1079
DC Super Heroes,19,7.7894736842105265,11
DFB Minifigures,19,5.052631578947368,6
DOTS,93,237.59139784946237,1165
Dark Forest,3,249.66666666666666,469
Database Sets,131,53.83969465648855,315
Desert,26,108.26923076923077,720
Designer Sets,49,192.77551020408163,784
Despicable Me 4,5,454.0,868
Dimensions,68,89.6470588235294,268
Dino,23,123.43478260869566,793
Dino Attack / Dino 2010,12,231.25,721
Dino Island,19,93.63157894736842,624
Dinosaurs,17,25.294117647058822,37
Discovery,8,365.25,865
Disney,75,739.0666666666667,4837
Disney 100,22,6.2272727272727275,9
Disney Princess,139,186.55395683453239,1016
Disney Series 1,21,5.380952380952381,10
Disney Series 2,21,6.285714285714286,10
Divers,12,192.91666666666666,478
Doc McStuffins,4,21.25,39
Dolls,6,14.833333333333334,33
Dora the Explorer,5,21.0,41
Dragon Knights,13,112.07692307692308,406
Dreamzzz,68,393.27941176470586,1742
Dungeons & Dragons,16,7.0625,13
Duplo,126,28.0,250
Duplo and Explore,290,77.87931034482759,564
EV3,13,49.92307692307692,601
Early Creator,37,239.7027027027027,1000
Easter,63,116.47619047619048,747
Editions,17,787.7058823529412,2842
Educational and Dacta,136,236.33823529411765,2018
Elves,42,332.1666666666667,1016
Exo-Force,52,195.23076923076923,1458
Expert Builder,39,255.17948717948718,676
Exploriens,9,186.77777777777777,663
Extreme Team,21,76.42857142857143,364
FIRST LEGO League,133,393.6766917293233,2179
Fabuland,107,34.12149532710281,157
Factory,7,1223.0,2792
Fantastic Beasts,2,413.0,694
Fantasy Era,31,342.5483870967742,2455
Farm,22,153.5909090909091,614
Ferrari,32,422.46875,1360
Ferries,17,235.0,508
Fire,128,162.46875,943
Forestmen,7,168.28571428571428,359
Forma,4,97.5,293
Formula 1,17,20.470588235294116,29
Fortnite,15,790.4,2546
Freestyle,67,250.28358208955223,1010
Friends,704,244.28267045454547,2275
Fright Knights,16,92.875,607
Frozen,39,242.28205128205127,1709
Fusion,4,238.25,262
Futuron,19,128.89473684210526,731
Gabby's Dollhouse,12,163.5,499
Galaxy Squad,12,365.0833333333333,1012
Galidor,21,10.428571428571429,29
Games,47,174.85106382978722,425
Gas Station,6,124.0,461
Gear,736,1.2418478260869565,127
Gears,9,115.22222222222223,181
Ghostbusters,2,2599.0,4642
Gravity Games,11,65.27272727272727,227
Guardians of the Galaxy,16,255.1875,1109
HO 1:87 Vehicles,62,1.7741935483870968,20
Halloween,44,112.3409090909091,617
Harbor,26,207.19230769230768,1226
Harry Potter,214,574.3317757009346,6020
Harry Potter and Fantastic Beasts Series 1,25,6.84,9
Harry Potter and Fantastic Beasts Series 2,19,6.7894736842105265,10
Hero Factory,34,50.88235294117647,394
Heroes,44,54.02272727272727,290
Hidden Side,32,306.75,1475
Hobby Sets,9,398.44444444444446,982
Hockey,19,66.3157894736842,396
Homemaker,32,150.53125,474
Horizon Adventures,1,768.0,768
Hospital,32,178.90625,861
Houseware,562,0.030249110320284697,9
Hydronauts,7,152.42857142857142,485
Ice Planet 2002,11,105.81818181818181,417
Icons,81,2088.6543209876545,10001
Ideas Books,128,16.1796875,201
Incredibles 2,3,140.66666666666666,178
Indiana Jones,23,376.5652173913044,1545
Insectoids,19,84.78947368421052,438
Inventor,6,193.66666666666666,344
Iron Man,6,505.5,2305
Iron Man and His Awesome Friends,2,150.0,204
Island Xtreme Stunts,13,81.07692307692308,336
Jack Stone,28,42.07142857142857,175
Jake and the Never Land Pirates,7,30.857142857142858,56
Jumbo Bricks,7,22.285714285714285,60
Jungle,27,227.33333333333334,1250
Juniors,29,146.58620689655172,480
Jurassic Park III,2,171.5,186
Jurassic World,133,253.09022556390977,3145
Jurassic World: Fallen Kingdom,3,106.33333333333333,150
Justice League,16,331.375,956
Key Chain,835,0.6215568862275449,73
Kingdoms,17,290.2352941176471,1575
Knights Kingdom I,21,94.95238095238095,539
Knights Kingdom II,76,103.76315789473684,989
LEGO Art,25,2762.84,11695
LEGO Brand Store,348,48.98275862068966,413
LEGO Exclusive,81,512.0246913580247,1912
LEGO Ideas and CUUSOO,98,1202.8979591836735,4090
LEGO Originals,21,1.4761904761904763,29
Launch Command,6,208.66666666666666,565
Learning,9,331.55555555555554,901
Learning at Home,4,761.75,1134
Legends of Chima,98,297.6224489795918,10001
Legoland Parks,58,176.41379310344828,1336
Legoville,77,23.857142857142858,126
Life On Mars,26,89.6923076923077,709
Lightyear,3,281.6666666666667,497
Lion Knights,26,124.46153846153847,679
Little Forest Friends,10,20.8,46
Little Robots,16,12.4375,58
Looney Tunes,16,5.6875,10
M:Tron,9,159.55555555555554,506
Magnets,142,10.190140845070422,35
Make & Create,51,478.29411764705884,2000
Mars Exploration,12,267.0833333333333,1062
Mars Mission,21,286.0,795
Marvel,16,91.0,325
Marvel Series 1,16,7.5625,12
Marvel Series 2,17,7.411764705882353,13
Marvel Super Heroes,4,95.75,137
Master Builder Academy,21,166.38095238095238,678
McDonalds,20,22.1,94
Mickey & Friends,19,43.8421052631579,160
Mickey Mouse,14,115.57142857142857,215
Miles From Tomorrowland,3,34.666666666666664,44
Mindstorms,33,215.84848484848484,1412
Minecraft,207,294.96135265700485,2863
Mini,1,1356.0,1356
Minions,9,184.11111111111111,876
Minitalia,19,93.52631578947368,307
Mission Deep Freeze,8,244.875,436
Mission Deep Sea,17,85.05882352941177,480
Mixels,123,40.61788617886179,74
Model Team,16,683.0,1746
Modular Buildings,21,2637.5714285714284,4015
Modulex,35,66.85714285714286,200
Monkie Kid,58,868.0,2438
Monster Fighters,14,392.07142857142856,2064
Monthly Mini Model Build,153,39.89542483660131,73
Mosaic,7,2100.5714285714284,4502
My Town,11,28.363636363636363,98
NXT,53,70.30188679245283,819
Nexo Knights,110,170.65454545454546,1426
Nike,5,741.0,1213
